WeekNo,Total_2021,Total_2020,Total_2015-2019 average,Males_2021,Males_2020,Males_2015-2019 average,Females_2021,Females_2020,Females_2015-2019 average,Cause - Respiratory_2021,Cause - Respiratory_2020,Cause - Respiratory_2015-2019 average,Cause - Influenza and pneumonia_2021,Cause - Influenza and pneumonia_2020,Cause - Influenza and pneumonia_2015-2019 average,Cause - Pneumonia_2021,Cause - Pneumonia_2020,Cause - Pneumonia_2015-2019 average,Cause - Chronic lower respiratory conditions_2021,Cause - Chronic lower respiratory conditions_2020,Cause - Chronic lower respiratory conditions_2015-2019 average,Cause - Cancer_2021,Cause - Cancer_2020,Cause - Cancer_2015-2019 average,Cause - Ischaemic heart diseases_2021,Cause - Ischaemic heart diseases_2020,Cause - Ischaemic heart diseases_2015-2019 average,Cause - Cerebrovascular diseases_2021,Cause - Cerebrovascular diseases_2020,Cause - Cerebrovascular diseases_2015-2019 average,Cause - Dementia including Alzheimers_2021,Cause - Dementia including Alzheimers_2020,Cause - Dementia including Alzheimers_2015-2019 average,Cause - Diabetes_2021,Cause - Diabetes_2020,Cause - Diabetes_2015-2019 average
Wk-17,8.001,8.076,8.316,8.909,9.334,9.49,7.167,7.001,7.303,0.731,0.597,0.749,0.082,0.087,0.16,0.082,0.087,0.147,0.393,0.363,0.396,2.746,2.831,2.934,0.687,0.774,0.837,0.463,0.48,0.579,0.771,0.855,0.771,0.278,0.338,0.258
Wk-18,8.428,7.903,8.447,9.35,9.138,9.498,7.556,6.857,7.526,0.746,0.683,0.773,0.129,0.121,0.157,0.129,0.121,0.134,0.432,0.37,0.429,2.781,2.649,2.966,0.827,0.787,0.902,0.513,0.518,0.58,0.854,0.76,0.765,0.261,0.301,0.224
Wk-19,8.275,8.376,8.815,9.309,9.716,10.304,7.413,7.271,7.567,0.725,0.666,0.843,0.102,0.131,0.167,0.102,0.131,0.149,0.413,0.357,0.482,2.823,3.036,3.029,0.823,0.768,0.92,0.442,0.549,0.629,0.765,0.784,0.813,0.297,0.269,0.305
Wk-20,8.32,8.038,8.831,9.694,9.414,10.073,7.168,6.826,7.772,0.704,0.701,0.835,0.124,0.088,0.169,0.124,0.088,0.152,0.373,0.405,0.47,3.031,2.851,2.957,0.751,0.794,0.946,0.459,0.529,0.614,0.825,0.76,0.818,0.238,0.276,0.283
Wk-21,8.619,8.329,9.054,9.797,9.846,10.362,7.593,7.074,7.963,0.88,0.728,0.897,0.148,0.132,0.18,0.148,0.132,0.159,0.456,0.395,0.515,2.879,2.717,3.08,0.76,0.838,0.992,0.543,0.612,0.613,0.814,0.799,0.856,0.276,0.288,0.282
Wk-22,,8.321,9.126,,9.45,10.474,,7.311,7.97,,0.692,0.911,,0.133,0.165,,0.133,0.149,,0.376,0.497,,2.855,3.065,,0.766,0.931,,0.561,0.663,,0.816,0.834,,0.296,0.291
Wk-23,,8.157,9.274,,9.347,10.845,,7.157,7.95,,0.712,0.911,,0.138,0.198,,0.138,0.172,,0.395,0.487,,2.879,3.083,,0.745,1.013,,0.456,0.626,,0.752,0.846,,0.283,0.296
Wk-24,,8.139,9.118,,9.442,10.687,,7.048,7.839,,0.665,0.934,,0.105,0.201,,0.105,0.176,,0.364,0.516,,2.768,2.983,,0.741,1.033,,0.6,0.607,,0.841,0.826,,0.305,0.292
Wk-25,,7.947,9.232,,9.053,10.688,,7.006,8.017,,0.668,0.952,,0.114,0.209,,0.111,0.18,,0.371,0.524,,2.763,2.981,,0.761,0.977,,0.559,0.674,,0.786,0.83,,0.285,0.306
Wk-26,,7.892,9.341,,8.994,10.727,,6.963,8.189,,0.614,0.921,,0.098,0.207,,0.098,0.181,,0.381,0.491,,2.7,3.072,,0.783,0.973,,0.505,0.635,,0.774,0.853,,0.273,0.337
Wk-27,,8.135,9.509,,9.344,10.843,,7.124,8.349,,0.684,1.009,,0.154,0.229,,0.154,0.197,,0.352,0.548,,2.824,3.094,,0.782,0.999,,0.525,0.607,,0.697,0.863,,0.337,0.334
Wk-28,,8.283,9.492,,9.596,11.097,,7.169,8.142,,0.752,1.05,,0.116,0.227,,0.116,0.195,,0.423,0.602,,2.983,2.966,,0.719,1.072,,0.46,0.636,,0.77,0.869,,0.266,0.309
